ibge,tse
354765,62200
354770,70556
354780,70572
354790,70599
354800,70610
354805,61328
354810,70637
354820,70653
354830,70670
354840,70696
354850,70718
354860,70734
354870,70750
354880,70777
354890,70793
354900,70815
354910,70831
354920,70858
354925,61883
354930,70874
354940,70890
354950,70912
354960,70939
354970,70955
354980,70971
354990,70998
354995,61905
355000,71013
355010,71030
355020,71056
355030,71072
355040,71099
355050,71110
355060,71137
355070,71153
355080,71170
355090,71196
355100,71218
355110,71234
355120,71250
355130,71277
355140,71293
355150,71315
355160,71331
355170,71358
355180,71374
355190,71390
355200,71412
355210,71439
355220,71455
355230,71471
355240,71498
355250,71510
355255,61301
355260,71536
355270,71552
355280,71579
355290,71595
355300,71617
355310,71633
355320,71650
355330,71676
355340,71692
355350,71714
355360,71730
355365,62260
355370,71757
355380,71773
355385,61840
355390,71790
355395,61042
355400,71811
355410,71838
355420,71854
355430,71870
355440,71897
355450,71919
355460,71935
355465,62049
355470,71951
355475,62448
355480,71978
355490,71994
355495,61620
355500,72010
355510,72036
355520,72052
355530,72079
355535,61468
355540,72095
355550,72117
355560,72133
355570,72150
355580,72176
355590,72192
355600,72214
355610,72230
355620,72257
355630,72273
355635,61549
355640,72311
355645,72737
355650,72338
355660,72354
355670,72370
355680,72397
355690,72419
355695,62227
355700,72435
355710,72451
355715,61921
355720,63371
355730,61662
