"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3550308,"SP","são paulo","são paulo","25","0085"
3550308,"SP","são paulo","são paulo","25","0086"
3550308,"SP","são paulo","são paulo","25","0087"
3550308,"SP","são paulo","são paulo","25","0088"
3550308,"SP","são paulo","são paulo","25","0089"
3550308,"SP","são paulo","são paulo","25","0090"
3550308,"SP","são paulo","são paulo","25","0100"
3550308,"SP","são paulo","são paulo","25","0702"
3550308,"SP","são paulo","são paulo","25","0703"
3550308,"SP","são paulo","são paulo","25","0704"
3550308,"SP","são paulo","são paulo","25","0710"
3550308,"SP","são paulo","são paulo","25","0990"
3550407,"SP","são pedro","são pedro","25","0584"
3550506,"SP","são pedro do turvo","santa cruz do rio pardo","25","0539"
3550605,"SP","são roque","são roque","25","0586"
3550704,"SP","são sebastião","são sebastião","25","0587"
3550803,"SP","são sebastião da grama","são sebastião da grama","25","0588"
3550902,"SP","são simão","são simão","25","0589"
