"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3520442,"SP","ilha solteira","ilha solteira","25","0246"
3520509,"SP","indaiatuba","indaiatuba","25","0248"
3520608,"SP","indiana","martinópolis","25","0346"
3520707,"SP","indiaporã","ouroeste","25","0696"
3520806,"SP","inúbia paulista","lucélia","25","0326"
3520905,"SP","ipaussu","ipauçu","25","0252"
3521002,"SP","iperó","boituva","25","0082"
3521101,"SP","ipeúna","rio claro","25","0510"
3521150,"SP","ipiguá","são josé do rio preto","25","0576"
3521150,"SP","ipiguá","são josé do rio preto","25","0675"
3521200,"SP","iporanga","eldorado","25","0172"
3521309,"SP","ipuã","ipuã","25","0257"
3521408,"SP","iracemápolis","limeira","25","0320"
3521507,"SP","irapuã","urupês","25","0648"
3521606,"SP","irapuru","pacaembu","25","0411"
3521705,"SP","itaberá","itaberá","25","0262"
3521804,"SP","itaí","itaí","25","0263"
3521903,"SP","itajobi","itajobi","25","0264"
3522000,"SP","itaju","bariri","25","0062"
3522109,"SP","itanhaém","itanhaém","25","0266"
3522158,"SP","itaóca","apiaí","25","0030"
3522208,"SP","itapecerica da serra","itapecerica da serra","25","0177"
3522208,"SP","itapecerica da serra","itapecerica da serra","25","0268"
3522208,"SP","itapecerica da serra","itapecerica da serra","25","0680"
3522208,"SP","itapecerica da serra","itapecerica da serra","25","0685"
3522307,"SP","itapetininga","itapetininga","25","0269"
3522406,"SP","itapeva","itapeva","25","0270"
3522505,"SP","itapevi","itapevi","25","0271"
3522604,"SP","itapira","itapira","25","0272"
3522653,"SP","itapirapuã paulista","apiaí","25","0030"
3522703,"SP","itápolis","itápolis","25","0274"
3522802,"SP","itaporanga","itaporanga","25","0275"
3522901,"SP","itapuí","jaú","25","0302"
3523008,"SP","itapura","ilha solteira","25","0246"
3523107,"SP","itaquaquecetuba","itaquaquecetuba","25","0278"
3523206,"SP","itararé","itararé","25","0279"
3523305,"SP","itariri","itariri","25","0280"
3523404,"SP","itatiba","itatiba","25","0281"
3523503,"SP","itatinga","itatinga","25","0282"
3523602,"SP","itirapina","itirapina","25","0283"
3523701,"SP","itirapuã","patrocínio paulista","25","0426"
3523800,"SP","itobi","casa branca","25","0129"
3523909,"SP","itu","itu","25","0286"
3524006,"SP","itupeva","itupeva","25","0679"
3524105,"SP","ituverava","ituverava","25","0288"
3524204,"SP","jaborandi","colina","25","0142"
3524303,"SP","jaboticabal","jaboticabal","25","0291"
3524402,"SP","jacareí","jacareí","25","0292"
3524501,"SP","jaci","mirassol","25","0358"
3524600,"SP","jacupiranga","jacupiranga","25","0294"
3524600,"SP","jacupiranga","jacupiranga","25","0667"
3524600,"SP","jacupiranga","jacupiranga","25","0670"
3524709,"SP","jaguariúna","jaguariúna","25","0296"
3524808,"SP","jales","jales","25","0297"
3524808,"SP","jales","jales","25","0697"
3524907,"SP","jambeiro","caçapava","25","0101"
3525003,"SP","jandira","jandira","25","0299"
3525102,"SP","jardinópolis","jardinópolis","25","0300"
3525201,"SP","jarinu","jarinu","25","0301"
3525300,"SP","jaú","jaú","25","0302"
3525409,"SP","jeriquara","pedregulho","25","0434"
3525508,"SP","joanópolis","piracaia","25","0450"
3525508,"SP","joanópolis","piracaia","25","0694"
3525607,"SP","joão ramalho","quatá","25","0486"
3525706,"SP","josé bonifácio","josé bonifácio","25","0306"
3525805,"SP","júlio mesquita","cafelândia","25","0104"
3525854,"SP","jumirim","tietê","25","0629"
3525904,"SP","jundiaí","jundiaí","25","0309"
3526001,"SP","junqueirópolis","junqueirópolis","25","0311"
3526100,"SP","juquiá","juquiá","25","0312"
3526209,"SP","juquitiba","itapecerica da serra","25","0177"
3526209,"SP","juquitiba","itapecerica da serra","25","0268"
3526209,"SP","juquitiba","itapecerica da serra","25","0680"
3526209,"SP","juquitiba","itapecerica da serra","25","0685"
3526308,"SP","lagoinha","são luiz do paraitinga","25","0579"
3526407,"SP","laranjal paulista","laranjal paulista","25","0315"
3526506,"SP","lavínia","mirandópolis","25","0356"
3526506,"SP","lavínia","mirandópolis","25","0676"
3526605,"SP","lavrinhas","cruzeiro","25","0156"
3526704,"SP","leme","leme","25","0318"
3526803,"SP","lençóis paulista","lençóis paulista","25","0319"
3526902,"SP","limeira","limeira","25","0320"
3527009,"SP","lindóia","águas de lindóia","25","0035"
3527108,"SP","lins","lins","25","0322"
3527207,"SP","lorena","lorena","25","0323"
3527256,"SP","lourdes","buritama","25","0097"
3527306,"SP","louveira","louveira","25","0681"
3527405,"SP","lucélia","lucélia","25","0326"
3527504,"SP","lucianópolis","duartina","25","0169"
3527603,"SP","luís antônio","são simão","25","0589"
3527702,"SP","luiziânia","penápolis","25","0438"
3527801,"SP","lupércio","garça","25","0201"
3527900,"SP","lutécia","paraguaçu paulista","25","0417"
3528007,"SP","macatuba","macatuba","25","0333"
3528106,"SP","macaubal","macaubal","25","0334"
3528205,"SP","macedônia","fernandópolis","25","0189"
3528304,"SP","magda","nhandeara","25","0383"
3528403,"SP","mairinque","mairinque","25","0337"
3528502,"SP","mairiporã","mairiporã","25","0338"
3528601,"SP","manduri","piraju","25","0452"
3528700,"SP","marabá paulista","presidente venceslau","25","0483"
3528809,"SP","maracaí","maracaí","25","0341"
3528858,"SP","marapoama","itajobi","25","0264"
3528908,"SP","mariápolis","adamantina","25","0081"
3529005,"SP","marília","marília","25","0344"
3529104,"SP","marinópolis","palmeira d'oeste","25","0414"
3529203,"SP","martinópolis","martinópolis","25","0346"
3529302,"SP","matão","matão","25","0347"
3529401,"SP","mauá","mauá","25","0348"
3529500,"SP","mendonça","josé bonifácio","25","0306"
3529609,"SP","meridiano","fernandópolis","25","0189"
3529658,"SP","mesópolis","jales","25","0297"
3529658,"SP","mesópolis","jales","25","0697"
3529708,"SP","miguelópolis","miguelópolis","25","0352"
3529807,"SP","mineiros do tietê","jaú","25","0302"
3529906,"SP","miracatu","miracatu","25","0355"
3530003,"SP","mira estrela","cardoso","25","0128"
3530102,"SP","mirandópolis","mirandópolis","25","0356"
3530102,"SP","mirandópolis","mirandópolis","25","0676"
3530201,"SP","mirante do paranapanema","mirante do paranapanema","25","0357"
3530300,"SP","mirassol","mirassol","25","0358"
3530409,"SP","mirassolândia","mirassol","25","0358"
3530508,"SP","mococa","mococa","25","0360"
3530607,"SP","mogi das cruzes","mogi das cruzes","25","0091"
3530607,"SP","mogi das cruzes","mogi das cruzes","25","0361"
3530706,"SP","mogi guaçu","mogi-guaçu","25","0362"
3530805,"SP","moji mirim","mogi-mirim","25","0363"
3530904,"SP","mombuca","capivari","25","0125"
3531001,"SP","monções","nhandeara","25","0383"
3531100,"SP","mongaguá","mongaguá","25","0366"
3531209,"SP","monte alegre do sul","amparo","25","0022"
3531308,"SP","monte alto","monte alto","25","0368"
3531407,"SP","monte aprazível","monte aprazível","25","0369"
3531407,"SP","monte aprazível","monte aprazível","25","0682"
3531506,"SP","monte azul paulista","monte azul paulista","25","0370"
3531605,"SP","monte castelo","tupi paulista","25","0638"
